track_name,artists,genre_count
Baby Blue - Remastered 2010,Badfinger,9
Layla,Derek & The Dominos,9
Stay,Zedd;Alessia Cara,9
The Middle,Zedd;Maren Morris;Grey,9
Algo Me Gusta De Ti,Wisin & Yandel;Chris Brown;T-Pain,8
Be Kind (with Halsey),Marshmello;Halsey,8
Cerca De Ti,Hermanos Gutiérrez,8
Co2,Prateek Kuhad,8
Happier,Marshmello;Bastille,8
Hate Me,Ellie Goulding;Juice WRLD,8
Midnight Rider,Allman Brothers Band,8
Moth To A Flame (with The Weeknd),Swedish House Mafia;The Weeknd,8
Nothing's Gonna Change My Love for You,George Benson,8
Numb,Marshmello;Khalid,8
Silence,Marshmello;Khalid,8
