coluna,valor,contagem
acousticness,0.995,295
acousticness,0.993,264
acousticness,0.994,260
acousticness,0.992,250
acousticness,0.991,229
acousticness,0.108,220
acousticness,0.131,215
acousticness,0.107,214
acousticness,0.881,208
acousticness,0.99,200
acousticness,0.105,197
acousticness,0.101,194
acousticness,0.136,191
acousticness,0.127,190
acousticness,0.121,189
acousticness,0.102,186
acousticness,0.129,184
acousticness,0.111,182
acousticness,0.157,182
acousticness,0.989,182
acousticness,0.112,181
acousticness,0.117,179
acousticness,0.168,179
acousticness,0.125,178
acousticness,0.191,178
acousticness,0.152,170
acousticness,0.124,169
acousticness,0.15,166
acousticness,0.132,165
acousticness,0.114,162
acousticness,0.987,161
acousticness,0.144,160
acousticness,0.118,158
acousticness,0.119,156
acousticness,0.988,155
acousticness,0.143,154
acousticness,0.139,153
acousticness,0.194,153
acousticness,0.11,152
acousticness,0.764,151
acousticness,0.986,151
acousticness,0.161,150
acousticness,0.188,150
acousticness,0.159,148
acousticness,0.123,147
acousticness,0.172,147
acousticness,0.733,147
acousticness,0.106,146
acousticness,0.128,145
acousticness,0.109,144
acousticness,0.217,144
acousticness,0.983,144
acousticness,0.122,143
acousticness,0.126,143
acousticness,0.138,143
acousticness,0.202,143
acousticness,0.155,142
acousticness,0.179,142
acousticness,0.985,141
acousticness,0.156,140
acousticness,0.146,139
acousticness,0.149,139
acousticness,0.182,139
acousticness,0.257,139
acousticness,0.12,138
acousticness,0.162,138
acousticness,0.175,137
acousticness,0.178,137
acousticness,0.984,137
acousticness,0.103,136
acousticness,0.174,136
acousticness,0.104,135
acousticness,0.13,135
acousticness,0.137,135
acousticness,0.154,135
acousticness,0.223,135
acousticness,0.135,134
acousticness,0.163,133
acousticness,0.176,133
acousticness,0.115,131
acousticness,0.116,131
acousticness,0.158,131
acousticness,0.184,131
acousticness,0.134,130
acousticness,0.189,130
acousticness,0.113,129
acousticness,0.173,129
acousticness,0.982,129
acousticness,0.153,128
acousticness,0.226,128
acousticness,0.447,127
acousticness,0.14,126
acousticness,0.29,126
acousticness,0.141,125
acousticness,0.472,125
acousticness,0.777,125
acousticness,0.981,125
acousticness,0.145,124
acousticness,0.186,124
acousticness,0.291,124
acousticness,0.979,123
acousticness,0.166,122
acousticness,0.283,122
acousticness,0.977,122
acousticness,0.253,121
acousticness,0.169,120
acousticness,0.17,119
acousticness,0.187,119
acousticness,0.262,119
acousticness,0.142,118
acousticness,0.198,118
acousticness,0.406,118
acousticness,0.165,115
acousticness,0.215,115
acousticness,0.147,114
acousticness,0.148,114
acousticness,0.16,114
acousticness,0.238,114
acousticness,0.98,114
acousticness,0.199,113
acousticness,0.243,113
acousticness,0.978,112
acousticness,0.0254,111
acousticness,0.133,111
acousticness,0.221,111
acousticness,0.278,111
acousticness,0.171,110
acousticness,0.18,110
acousticness,0.181,110
acousticness,0.247,110
acousticness,0.256,110
acousticness,0.328,110
acousticness,0.6,110
acousticness,0.88,110
acousticness,0.197,109
acousticness,0.0112,108
acousticness,0.0165,108
acousticness,0.204,108
acousticness,0.263,108
acousticness,0.212,107
acousticness,0.213,107
acousticness,0.242,107
acousticness,0.245,107
acousticness,0.255,107
acousticness,0.961,107
acousticness,0.996,107
acousticness,0.192,106
acousticness,0.276,106
acousticness,0.31,106
acousticness,0.326,106
acousticness,0.614,106
acousticness,0.731,106
acousticness,0.201,105
acousticness,0.269,105
acousticness,0.275,105
acousticness,0.383,105
acousticness,0.75,105
acousticness,0.2,104
acousticness,0.316,104
acousticness,0.458,104
acousticness,0.829,104
acousticness,0.196,103
acousticness,0.237,103
acousticness,0.345,103
acousticness,0.845,103
acousticness,0.214,102
acousticness,0.27,102
acousticness,0.303,102
acousticness,0.384,102
acousticness,0.577,102
acousticness,0.224,101
acousticness,0.261,101
acousticness,0.359,101
acousticness,0.205,100
acousticness,0.22,100
acousticness,0.822,100
acousticness,0.957,100
acousticness,0.976,100
acousticness,0.0141,99
acousticness,0.185,99
acousticness,0.246,99
acousticness,0.44,99
acousticness,0.892,99
acousticness,0.973,99
acousticness,0.228,98
acousticness,0.396,98
acousticness,0.0116,97
acousticness,0.219,97
acousticness,0.285,97
acousticness,0.309,97
acousticness,0.32,97
acousticness,0.452,97
acousticness,0.918,97
acousticness,0.97,97
acousticness,0.0124,96
acousticness,0.0129,96
acousticness,0.164,96
acousticness,0.229,96
acousticness,0.25,96
acousticness,0.3,96
acousticness,0.33,96
acousticness,0.739,96
acousticness,0.787,96
acousticness,0.835,96
acousticness,0.968,96
acousticness,0.0946,95
acousticness,0.222,95
acousticness,0.225,95
acousticness,0.251,95
acousticness,0.274,95
acousticness,0.284,95
acousticness,0.974,95
acousticness,0.0127,94
acousticness,0.183,94
acousticness,0.254,94
acousticness,0.289,94
acousticness,0.538,94
acousticness,0.964,94
acousticness,0.288,93
acousticness,0.332,93
acousticness,0.611,93
acousticness,0.791,93
acousticness,0.92,93
acousticness,0.927,93
acousticness,0.969,93
acousticness,0.0121,92
acousticness,0.234,92
acousticness,0.294,92
acousticness,0.508,92
acousticness,0.633,92
acousticness,0.715,92
acousticness,0.727,92
acousticness,0.0172,91
acousticness,0.177,91
acousticness,0.208,91
acousticness,0.26,91
acousticness,0.299,91
acousticness,0.451,91
acousticness,0.475,91
acousticness,0.751,91
acousticness,0.797,91
acousticness,0.936,91
acousticness,0.939,91
acousticness,0.292,90
acousticness,0.304,90
acousticness,0.307,90
acousticness,0.414,90
acousticness,0.782,90
acousticness,0.794,90
acousticness,0.891,90
acousticness,0.975,90
acousticness,0.193,89
acousticness,0.209,89
acousticness,0.216,89
acousticness,0.232,89
acousticness,0.235,89
acousticness,0.259,89
acousticness,0.323,89
acousticness,0.615,89
acousticness,0.838,89
acousticness,0.879,89
acousticness,0.1,88
acousticness,0.21,88
acousticness,0.218,88
acousticness,0.318,88
acousticness,0.342,88
acousticness,0.352,88
acousticness,0.361,88
acousticness,0.405,88
acousticness,0.587,88
acousticness,0.912,88
acousticness,0.913,88
acousticness,0.0246,87
acousticness,0.151,87
acousticness,0.167,87
acousticness,0.28,87
acousticness,0.282,87
acousticness,0.296,87
acousticness,0.321,87
acousticness,0.346,87
acousticness,0.366,87
acousticness,0.392,87
acousticness,0.399,87
acousticness,0.434,87
acousticness,0.728,87
acousticness,0.785,87
acousticness,0.0117,86
acousticness,0.0863,86
acousticness,0.231,86
acousticness,0.297,86
acousticness,0.301,86
acousticness,0.313,86
acousticness,0.424,86
acousticness,0.655,86
acousticness,0.709,86
acousticness,0.726,86
acousticness,0.836,86
acousticness,0.871,86
acousticness,0.967,86
acousticness,0.227,85
acousticness,0.312,85
acousticness,0.314,85
acousticness,0.347,85
acousticness,0.572,85
acousticness,0.619,85
acousticness,0.686,85
acousticness,0.698,85
acousticness,0.768,85
acousticness,0.828,85
acousticness,0.908,85
acousticness,0.914,85
acousticness,0.948,85
acousticness,0.965,85
acousticness,0.0109,84
acousticness,0.241,84
acousticness,0.248,84
acousticness,0.287,84
acousticness,0.335,84
acousticness,0.5,84
acousticness,0.573,84
acousticness,0.766,84
acousticness,0.938,84
acousticness,0.258,83
acousticness,0.353,83
acousticness,0.39,83
acousticness,0.436,83
acousticness,0.778,83
acousticness,0.796,83
acousticness,0.818,83
acousticness,0.926,83
acousticness,0.933,83
acousticness,0.956,83
acousticness,0.971,83
acousticness,0.206,82
acousticness,0.24,82
acousticness,0.281,82
acousticness,0.355,82
acousticness,0.393,82
acousticness,0.395,82
acousticness,0.435,82
acousticness,0.486,82
acousticness,0.535,82
acousticness,0.583,82
acousticness,0.64,82
acousticness,0.642,82
acousticness,0.656,82
acousticness,0.742,82
acousticness,0.812,82
acousticness,0.82,82
acousticness,0.93,82
acousticness,0.944,82
acousticness,0.962,82
acousticness,0.0102,81
acousticness,0.0202,81
acousticness,0.034,81
acousticness,0.239,81
acousticness,0.334,81
acousticness,0.403,81
acousticness,0.464,81
acousticness,0.555,81
acousticness,0.729,81
acousticness,0.776,81
acousticness,0.802,81
acousticness,0.815,81
acousticness,0.888,81
acousticness,0.932,81
acousticness,0.95,81
acousticness,0.953,81
acousticness,0.0185,80
acousticness,0.0268,80
acousticness,0.195,80
acousticness,0.233,80
acousticness,0.267,80
acousticness,0.343,80
acousticness,0.356,80
acousticness,0.407,80
