track_name,artists,genre_count
Everything Goes On,Porter Robinson;League of Legends,4
Love Is Gone,SLANDER;Dylan Matthew,4
A Great Big Sled,The Killers;Toni Halliday,3
A feira,O Rappa,3
About Me,Koven;ROY KNOX,3
All Right Now,Free,3
All That Really Matters,ILLENIUM;Teddy Swims,3
All We Know,The Chainsmokers;Phoebe Ryan,3
Alone,Marshmello,3
Arise,Sepultura,3
BIBA,Marshmello;Pritam,3
Back Round,Wolfmother,3
Be Kind (with Halsey),Marshmello;Halsey,3
Belly Dancer,Imanbek;BYOR,3
Bring Me Back,Miles Away;Claire Ridgely,3
