track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,source,rejection_reason
1kR4gIb7nGxHPI3D2ifs59,,,,0,0.0,False,0.501,0.583,7.0,-9.46,0.0,0.0605,0.69,0.00396,0.0747,0.734,138.391,4.0,k-pop,spotify_tracks_114k,missing_or_invalid_required_value
0zirWZTcXBBwGsevrsIpvT,Dream Supplier;Baby Sleeps;Background White Noise,Best White Noise For Sleeping Baby,Clean Baby Sleep White Noise (Loopable),97,,False,,,,,,,,,,,,,easy-listening,top_10k_2025,missing_or_invalid_required_value
0zirWZTcXBBwGsevrsIpvT,Dream Supplier;Baby Sleeps;Background White Noise,Best White Noise For Sleeping Baby,Clean Baby Sleep White Noise (Loopable),97,,False,,,,,,,,,,,,,electronic,top_10k_2025,missing_or_invalid_required_value
0zirWZTcXBBwGsevrsIpvT,Dream Supplier;Baby Sleeps;Background White Noise,Best White Noise For Sleeping Baby,Clean Baby Sleep White Noise (Loopable),97,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0zirWZTcXBBwGsevrsIpvT,Dream Supplier;Baby Sleeps;Background White Noise,Best White Noise For Sleeping Baby,Clean Baby Sleep White Noise (Loopable),97,,False,,,,,,,,,,,,,rock,top_10k_2025,missing_or_invalid_required_value
295uck3ky42Qj4rxbISGG5,X.L.T,Dreams & Calmness,Dreams & Calmness,85,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
5MOWBRtP53q5yNOtHaMVTh,Milli Hughes,Deep Phase Noise,Deep Phase Noise 1,85,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0ZmhDgy5eWjdLOQFEEe3bm,Olly;Juli,Balorda nostalgia,Balorda nostalgia,82,197709.0,False,0.541,0.562,1.0,-7.457,1.0,0.0496,0.0963,0.0,0.119,0.156,109.902,4.0,,top_10k_2025,missing_or_invalid_required_value
5nMbf1TCIXxtgWjcCT7pzs,The Noisy Outdoors,Every Night White Noise,Every Night White Noise,82,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
3WEhUtfxXaoRrpSIZ1XzQY,Misa Bee,Noise Waterfalls,Loud Noise Sound,82,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0hkoQgoqic1qQtxPOudmrx,emmanuellcortess_,Memorias <3,Amor,80,202059.0,False,0.717,0.502,2.0,-6.329,1.0,0.0479,0.208,1.31e-05,0.12,0.424,180.01,4.0,,top_10k_2025,missing_or_invalid_required_value
2COPUH8f4mlt1vzZG83zqU,Natura Ferox,Gentle White Noise,Gentle White Noise - Seamless,79,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
7GVUmCP00eSsqc4tzj1sDD,Redbone,Come and Get Your Love,Come and Get Your Love - Single Version,79,205933.0,False,0.731,0.804,11.0,-7.621,0.0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4.0,,top_10k_2025,missing_or_invalid_required_value
2bRKxuH1o7pTmb1y4GfdEc,White Noise Baby Sleep;White Noise for Babies,Best White Noise for Baby Sleep - Loopable with No Fade,Clean White Noise - Loopable with no fade,77,,False,,,,,,,,,,,,,rock,top_10k_2025,missing_or_invalid_required_value
0A6oqQbgko0cwOB6HrMB3M,Dream Supplier;Baby Sleeps;Background White Noise,Clean Baby Sleep White Noise (Loopable no fade),Clean Baby Sleep White Noise (Loopable no fade),76,,False,,,,,,,,,,,,,easy-listening,top_10k_2025,missing_or_invalid_required_value
0A6oqQbgko0cwOB6HrMB3M,Dream Supplier;Baby Sleeps;Background White Noise,Clean Baby Sleep White Noise (Loopable no fade),Clean Baby Sleep White Noise (Loopable no fade),76,,False,,,,,,,,,,,,,electronic,top_10k_2025,missing_or_invalid_required_value
0A6oqQbgko0cwOB6HrMB3M,Dream Supplier;Baby Sleeps;Background White Noise,Clean Baby Sleep White Noise (Loopable no fade),Clean Baby Sleep White Noise (Loopable no fade),76,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0A6oqQbgko0cwOB6HrMB3M,Dream Supplier;Baby Sleeps;Background White Noise,Clean Baby Sleep White Noise (Loopable no fade),Clean Baby Sleep White Noise (Loopable no fade),76,,False,,,,,,,,,,,,,rock,top_10k_2025,missing_or_invalid_required_value
4X4R6qsIicxIQIFbnDcJLO,Olly;Juli,TUTTA VITA,Scarabocchi,76,180137.0,False,0.369,0.505,5.0,-8.783,1.0,0.129,0.51,0.0,0.154,0.569,179.501,3.0,,top_10k_2025,missing_or_invalid_required_value
234fOFiPU3zFTgkPNg5nX5,Irama,Lentamente,Lentamente,76,205996.0,False,0.484,0.673,1.0,-4.037,1.0,0.0399,0.252,0.0,0.188,0.432,145.997,4.0,,top_10k_2025,missing_or_invalid_required_value
3W1xZMEfi44Wxts9HMBJJS,Elodie,Dimenticarsi alle 7,Dimenticarsi alle 7,76,214929.0,False,0.563,0.72,3.0,-5.918,0.0,0.0425,0.218,0.0,0.195,0.402,123.917,4.0,,top_10k_2025,missing_or_invalid_required_value
6CbPp21JO1ZFFVkP9vism2,Somnolence,Tranquility,Tranquility,76,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
28UMiBhn383n9S7GL4tsxD,Céline Dion,Falling into You,"Because You Loved Me (Theme from ""Up Close and Personal"")",76,273667.0,False,0.615,0.467,1.0,-9.883,1.0,0.0327,0.314,0.0,0.099,0.177,119.919,4.0,,top_10k_2025,missing_or_invalid_required_value
2YTcBeRLoVO2MkzKpbxPVW,Panoramia,Tranquil White Noise,Tranquil White Noise,75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0Se7OnifRxYPVsimoV1Yyb,Universal Waves,The Deep White Noise,The Dark White Noise,75,,False,,,,,,,,,,,,,electronic,top_10k_2025,missing_or_invalid_required_value
0Se7OnifRxYPVsimoV1Yyb,Universal Waves,The Deep White Noise,The Dark White Noise,75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
5DqjEVkM7PA3bMaEhkrUdb,Aileron,Sonorous Dream,Quantum White,75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
2E691vZJRMdpiiHFjd5YUi,All Night Chill Makers,Endless Noise,Noise & Sleep,75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
2t59Nh57fvHOwfiV7aZwTn,NatuREM,Calm Sleep (Noise),Wide Skies (Noise),75,,False,,,,,,,,,,,,,electronic,top_10k_2025,missing_or_invalid_required_value
2t59Nh57fvHOwfiV7aZwTn,NatuREM,Calm Sleep (Noise),Wide Skies (Noise),75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
6FrJELq39kHa0lllsUgyS4,Relaxed Minds,Rumore Bianco,Rumore Bianco,75,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
33LC84JgLvK2KuW43MfaNq,Céline Dion,Let's Talk About Love,"My Heart Will Go On - Love Theme from ""Titanic""",75,280000.0,False,0.428,0.276,4.0,-11.729,1.0,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,1.0,,top_10k_2025,missing_or_invalid_required_value
75Y6WgUldQN8mipAVLy8KJ,Olly;Juli,TUTTA VITA,Quei ricordi là,74,180857.0,False,0.547,0.701,7.0,-7.09,1.0,0.106,0.365,0.0,0.208,0.453,81.988,4.0,,top_10k_2025,missing_or_invalid_required_value
5EQzuYfTZt7B2LqlvTF49l,Céline Dion,Falling into You,It's All Coming Back to Me Now,74,456867.0,False,0.384,0.438,0.0,-9.149,1.0,0.0362,0.753,0.0,0.101,0.287,87.903,4.0,,top_10k_2025,missing_or_invalid_required_value
0SwDKWxXKHKGSKXrLtA0xH,APON,Oneiropolos,Provlimata,73,144706.0,False,0.713,0.731,0.0,-4.137,0.0,0.0691,0.27,0.000428,0.0735,0.668,102.364,4.0,,top_10k_2025,missing_or_invalid_required_value
1ej2NcW0CHnscPp1RZpr1V,Olly;Juli,TUTTA VITA,Devastante,73,190123.0,False,0.668,0.549,3.0,-8.024,1.0,0.12,0.599,0.0,0.149,0.386,115.958,4.0,,top_10k_2025,missing_or_invalid_required_value
5CJwgyuXlhfXiZzJI53BUw,Natural Sample Makers,Rumori Di Notte,Addormentarsi,73,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
0si1zT7kLVP0SECUsm9uPn,Ambi Val,Noise For Relaxation,Noise Rest,73,,False,,,,,,,,,,,,,new-age,top_10k_2025,missing_or_invalid_required_value
5kK1Iru9ogP3Iy1zsANU1n,Céline Dion,The Colour Of My Love,The Power of Love,73,342400.0,False,0.546,0.519,8.0,-9.072,1.0,0.0291,0.36,0.00046,0.24,0.247,140.054,4.0,,top_10k_2025,missing_or_invalid_required_value
1pqKCnjkTBcAX6NyzSDahf,Charlotte Cardin,99 Nights (Edition Deluxe),Feel Good,72,163472.0,False,0.727,0.644,6.0,-5.514,0.0,0.0545,0.1,0.0,0.0896,0.688,111.078,4.0,,top_10k_2025,missing_or_invalid_required_value
1imyB3ufkQTtOnD2PYUSuu,Last Child,Surat Cinta Untuk Starla,Bernafas Tanpamu,72,,False,,,,,,,,,,,,,pop,top_10k_2025,missing_or_invalid_required_value
1imyB3ufkQTtOnD2PYUSuu,Last Child,Surat Cinta Untuk Starla,Bernafas Tanpamu,72,,False,,,,,,,,,,,,,rock,top_10k_2025,missing_or_invalid_required_value
