track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2plbrEY59IikOBgBGLjaoe,Lady Gaga;Bruno Mars,Die With A Smile,Die With A Smile,100,251668,False,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,pop
3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DeBÍ TiRAR MáS FOToS,DtMF,98,140296,True,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,latin
6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,98,210373,False,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,pop
2lTm559tuIvatlT1u0JYG2,Bad Bunny,DeBÍ TiRAR MáS FOToS,BAILE INoLVIDABLE,96,132831,True,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,latin
6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,Not Like Us,96,274192,True,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,hip-hop
7ne4VBA60CxGM75vw0EYad,Gracie Abrams,The Secret of Us (Deluxe),That’s So True,96,166300,True,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,pop
5vNRhkKd0yEAg8suGBpjeY,ROSÉ;Bruno Mars,APT.,APT.,95,169917,False,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,pop
3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar;SZA,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),95,232187,True,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,hip-hop
3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar;SZA,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),95,232187,True,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,r-b
2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Sailor Song,95,211979,False,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4,pop
3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,HIT ME HARD AND SOFT,WILDFLOWER,95,261467,False,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,pop
2CGNAOSuO1MEFCbBRgUzjd,Kendrick Lamar;SZA,GNX,luther (with sza),94,177599,False,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,hip-hop
2CGNAOSuO1MEFCbBRgUzjd,Kendrick Lamar;SZA,GNX,luther (with sza),94,177599,False,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,r-b
0aB0v4027ukVziUGwVGYpG,Kendrick Lamar;Lefty Gunplay,GNX,tv off (feat. lefty gunplay),94,220690,True,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,hip-hop
5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,DeBÍ TiRAR MáS FOToS,NUEVAYoL,94,89990,False,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,latin
6qqrTXSdwiJaq8SO0X2lSe,Alex Warren,Ordinary,Ordinary,94,186080,False,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51e-06,0.0562,0.382,112.252,4,pop
0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",94,218424,False,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,rock
5ZLUm9eab8y3tqQ1OhQSHI,Lady Gaga,Abracadabra,Abracadabra,93,223398,False,0.68,0.909,10,-3.487,0,0.0624,0.0121,0.0,0.222,0.633,126.004,4,pop
6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,DeBÍ TiRAR MáS FOToS,EoO,93,74520,True,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4,latin
7d6yK8v8J484SWH5prIQiE,Bad Bunny;Omar Courtz;Dei V,DeBÍ TiRAR MáS FOToS,VeLDÁ,93,109476,True,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3,latin
59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,DeBÍ TiRAR MáS FOToS,VOY A LLeVARTE PA PR,93,150650,True,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,latin
0FIDCNYYjNvPVimz5icugS,The Weeknd;Playboi Carti,Hurry Up Tomorrow,Timeless (feat Playboi Carti),93,256000,True,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,hip-hop
0FIDCNYYjNvPVimz5icugS,The Weeknd;Playboi Carti,Hurry Up Tomorrow,Timeless (feat Playboi Carti),93,256000,True,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,pop
0FIDCNYYjNvPVimz5icugS,The Weeknd;Playboi Carti,Hurry Up Tomorrow,Timeless (feat Playboi Carti),93,256000,True,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,r-b
0fK7ie6XwGxQTIkpFoWkd1,JENNIE,Ruby,like JENNIE,93,123187,True,0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4,pop
7CyPwkp0oE8Ro9Dd5CUDjW,The Weeknd;JENNIE;Lily-Rose Depp,The Idol Episode 4 (Music from the HBO Original Series),"One Of The Girls (with JENNIE, Lily Rose Depp)",92,244685,False,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,4,pop
