rank,track_name,track_id,artist_names,artist_ids,album_name,album_id,popularity,duration,explicit,release_date,album_type,isrc,copies,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,total_artist_followers,avg_artist_popularity,artist_genres,main_genres,lyrics
1,Die With A Smile,2plbrEY59IikOBgBGLjaoe,Lady Gaga|Bruno Mars,1HY2Jd0NmPuamShAr6KMms|0du5cEVh5yTK9QJze8zA0C,Die With A Smile,10FLjwfpbxLmW8c25Xyc2N,100,4:11,0,2024-08-16,single,USUM72409273,9,0.521,0.592,6.0,-7.777,0.0,0.0304,0.308,0.0,0.122,0.535,157.969,251668.0,3.0,121068459,91.0,"[""art pop"", ""pop""]",Pop,"Ooh, ooh

I, I just woke up from a dream
But you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you

(Ooh, ooh)

Oh-ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only one worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh, oh

If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you
If the world was ending, I'd wanna be next to you

Ooh, ooh
I'd wanna be next to you"
2,DtMF,3sK8wGT43QFpWrvNQsrQya,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,98,3:57,1,2025-01-05,album,QMFMF2447070,3,0.625,0.131,7.0,-27.405,0.0,0.0717,0.177,0.218,0.0807,0.032,136.02,140296.0,4.0,105635803,99.0,"[""latin"", ""reggaeton"", ""trap latino"", ""urbano latino""]",Latin,"Eh-eh, he-eh, eh-eh, eh-eh
Otro sunset bonito que veo en San Juan
Disfrutando de todas esas cosas que extrañan los que se van (van, van)
Disfrutando de noche' de esas, que ya no se dan (dan, dan)
Que ya no se dan (dan)
Pero queriendo volver a la última vez
Y a los ojos te miré
Y contarte las cosas que no te conté (te parece' a mi crush, jaja)
Y tirarte la' foto' que no te tiré
(Acho, bruto te ves bien linda, déjame tirarte una foto)
Ey, tengo el pecho pela'o, me dio una matá'
El corazón dándome patá'
Dime, baby, ¿dónde tú está'?
Pa' llegarle con Roro, Julito, Cristal
Roy, Edgar, Seba, Oscar, Dalnelly, Big J, tocando batá
Hoy la calle la dejamo' 'esbaratá
Y sería cabrón que tú me toque' el güiro
Yo veo tu nombre y me salen suspiro'
No sé si son petardo' o si son tiro'
Mi blanquita, perico, mi kilo
Yo estoy en PR, tranquilo, pero
Debí tirar más fotos de cuando te tuve
Debí darte más beso' y abrazo' las vece' que pude
Ey, ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
Debí tirar más fotos de cuando te tuve
Debí darte más beso' y abrazo' las vece' que pude
Ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
Ey, hoy voy a estar con mi abuelo to'l día, jugando dominó
Si me pregunta si aún pienso en ti, yo le digo que no
Que mi estadía cerquita de ti ya se terminó, ya se terminó
Ey, que prendan la máquina', voy pa' Santurce
Aquí todavía se da caña, chequéate las babie'
Diablo, mami, qué dulce
Hoy yo quiero beber, beber, beber
Y hablar mierda hasta que me expulsen
'Toy bien loco ('toy bien loco)
'Toy bien loco ('toy bien loco)
Cabrón, guía tú, que hasta caminando yo estoy que choco
'Toy bien loco ('toy bien loco)
'Toy bien loco ('toy bien loco)
Vamo' a disfrutar, que nunca se sabe, si nos queda poco
Debí tirar más f
Gente, lo' quiero con cojone', los amo
Gracias por estar aquí, de verdad
Para mí e' bien importante que estén aquí
Cada uno de ustede' significa mucho para mí
Así que, vamo' pa' la foto, vengan pa'cá
Métase to'l mundo, to'l corillo, vamo'
Zumba!
Ya Bernie tiene el nene y Jan la nena'
Ya no estamo' pa' la movie' y las cadena'
'Tamos pa' las cosa' que valgan la pena
Ey, pa'l perreo, la salsa, la bomba y la plena
Chequéate la mía cómo es que suena
Debí tirar más fotos de cuando te tuve
Debí darte más besos y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y que tú me envíe' más nude'
Y si hoy me emborracho, que Vero me ayude"
3,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,98,3:30,0,2024-05-17,album,USUM72401994,7,0.747,0.507,2.0,-10.171,1.0,0.0358,0.2,0.0608,0.117,0.438,104.978,210373.0,4.0,121278701,93.0,"['pop', 'art pop']",Pop,"I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby
Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
I want you to see, hmm
How you look to me, hmm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid
And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye
Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better
I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised"
4,Clean Baby Sleep White Noise (Loopable),0zirWZTcXBBwGsevrsIpvT,Dream Supplier|Baby Sleeps|Background White Noise,6Cqtx9fpxzggIMuKn0RGCp|48zEowASEXWsK6lgP1xotZ|7nixcnKd43u9a29ZMawfnh,Best White Noise For Sleeping Baby,0NGHR9zjS5eFFlqtClA9VV,97,2:22,0,2020-04-29,single,NLC8M2000219,2,,,,,,,,,,,,,,25098,51.333333333333336,"[""native american music""]","Easy Listening, Electronic, New Age, Rock",
5,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,96,6:07,1,2025-01-05,album,QMFMF2447057,1,0.168,0.00332,10.0,-46.113,1.0,0.0615,0.192,0.79,0.112,0.219,119.387,132831.0,3.0,105635803,99.0,"[""latin"", ""reggaeton"", ""trap latino"", ""urbano latino""]",Latin,"Pensaba que contigo iba a envejecer
En otra vida, en otro mundo, podrá ser
En esta solo queda irme un día
Y solamente verte en el atardecer

Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi BAILE INoLVIDABLE
Y fuiste tú mi BAILE INoLVIDABLE
Eh-eh, eh-eh
Eh-eh, eh-eh

""Mientras uno está vivo
Uno debe amar lo más que pueda""

Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y ver pa'l cielo a ver si te veo caer

Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi BAILE INoLVIDABLE

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Yeah-yeah-yeah-yeah, ey, dime cómo le hago pa olvidarte
Hay un paso nuevo que quiero enseñarte
En las noche' ya ni puedo dormir
Lo que hago es soñarte

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Cómo tú me besabas, cómo yo te lo hacía
Cómo tú me mirabas, bellaquito me ponía
Se siente feo no tenerte cerquita
La nueva mama bien, pero no es tu boquita
Mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, ey

To' suena cabrón
Vamo' a hacerlo otra ve'
Como anoche, como anoche
Tan-tan, ta-na-na, ta-na-na
Aprieta, chamaquito, aprieta

¡Ahí, ahí, ahí, vamo' allá!

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Ay, yo con cualquiera me puedo acostar
Pero no con cualquiera quiero despertar
Solo con usted, con usted
Yo bailo con usted, na'más con usted
Un beso donde estés, donde estés, bebé

No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

Y yo tenía mucha' novia'
Pero como tú, ninguna
Ya no tengo mi sol, me paso en la luna
Si te pienso, me tiro de una

Eh-eh, mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, eh-eh"
6,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,96,4:34,1,2024-05-04,single,USUG12400910,2,0.898,0.472,1.0,-7.001,1.0,0.0776,0.0107,0.0,0.141,0.214,101.061,274192.0,4.0,45674032,91.0,"[""hip hop"", ""west coast hip hop""]",Hip Hop,"Psst, I see dead people
Mustard on the beat, ho
Ay, Mustard on the beat, ho
Deebo, any rap nigga, he a free-throw
Man down, call an amberlamps, tell him, ""Breathe, bro""
Nail a nigga to the cross, he walk around like Teezo
What's up with these jabroni-ass niggas tryna see Compton?
The industry can hate me, fuck 'em all and they mama
How many opps you really got? I mean, it's too many options
I'm finna pass on this body, I'm John Stockton
Beat your ass and hide the Bible if God watchin'
Sometimes you gotta pop out and show niggas
Certified boogeyman, I'm the one that upped the score with 'em
Walk him down, whole time I know he got some ho in him
Pole on him, extort shit, bully the flow on him
Say, Drake, I hear you like 'em young
You better not ever go to cell block one
To any bitch that talk to him and they in love
Just make sure you hide your lil' sister from him
They tell me Chubbs the only one that get your hand-me-downs
And PARTY at the party, playin' with his nose now
And Baka got a weird case, why is he around?
Certified Lover Boy? Certified pedophiles
Wop, wop, wop, wop, wop, Dot, fuck 'em up
Wop, wop, wop, wop, wop, I'ma do my stuff
Why you trollin' like a bitch? Ain't you tired?
Tryna strike a chord and it's probably A minor
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us
You think the Bay gon' let you disrespect Pac, nigga?
I think that Oakland show gon' be your last stop, nigga
Did Cole fouI, I don't know why you still pretendin'
What is the owl? Bird niggas and bird bitches, go
The audience not dumb, shape the stories how you want
Hey, Drake, they're not slow
Rabbit hole is still deep, I can go further, I promise
Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted
Ain't no law, boy, you ballboy, fetch Gatorade or somethin'
Since 2009, I had this bitch jumpin'
You niggas'll get a wedgie, be flipped over your boxers
What OVO for? The ""Other Vaginal Option""? Pussy
Nigga better straighten they posture, got famous all up in Compton
Might write this for the doctorate, tell the pop star quit hidin'
Fuck a caption, want action, no accident
And I'm hands-on, he fuck around, get polished
Fucked on Wayne girl while he was in jail, that's connivin'
Then get his face tatted like a bitch apologizin'
I'm glad DeRoz' came home, y'all didn't deserve him neither
From Alondra down to Central, nigga better not speak on Serena
And your homeboy need subpoena, that predator move in flocks
That name gotta be registered and placed on neighborhood watch
I lean on you niggas like another line of Wock'
Yeah, it's all eyes on me, and I'ma send it up to Pac, ay
Put the wrong label on me, I'ma get 'em dropped, ay
Sweet Chin Music, and I won't pass the aux, ay
How many stocks do I really have in stock? Ay
One, two, three, four, five, plus five, ay
Devil is a lie, he a 69 God, ay
Freaky-ass niggas need to stay they ass inside, ay
Roll they ass up like a fresh pack of 'za, ay
City is back up, it's a must, we outside, ay
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us
Once upon a time, all of us was in chains
Homie still doubled down callin' us some slaves
Atlanta was the Mecca, buildin' railroads and trains
Bear with me for a second, let me put y'all on game
The settlers was usin' town folk to make 'em richer
Fast-forward, 2024, you got the same agenda
You run to Atlanta when you need a check balance
Let me break it down for you, this the real nigga challenge
You called Future when you didn't see the club (ay, what?)
Lil Baby helped you get your lingo up (what?)
21 gave you false street cred
Thug made you feel like you a slime in your head (ay, what?)
Quavo said you can be from Northside (what?)
2 Chainz say you good, but he lied
You run to Atlanta when you need a few dollars
No, you not a colleague, you a fuckin' colonizer
The family matter, and the truth of the matter
It was God's plan to show y'all the liar
Mm, mm-mm
He a fan, he a fan, he a fan (mm), he a fan, he a fan, he a
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Let me hear you say, ""OV-ho"" (OV-ho)
Say, ""OV-ho"" (OV-ho)
Then step this way, step that way
Then step this way, step that way
Are you my friend?
Are we locked in?
Then step this way, step that way
Then step this way, step that way"
7,That’s So True,7ne4VBA60CxGM75vw0EYad,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,The Secret of Us (Deluxe),0hBRqPYPXhr1RkTDG3n4Mk,96,2:46,1,2024-10-18,album,USUG12406903,5,0.554,0.808,1.0,-4.169,1.0,0.0368,0.214,0.0,0.159,0.372,108.548,166300.0,4.0,8072982,84.0,['alt z'],Pop,"I could go and read your mind
Think about your dumb face all the time
Living in your glass house, I'm outside
Uh, looking in her big blue eyes
Did it just to hurt me, make me cry
Smiling through it all, yeah, that's my life

You're an idiot, now I'm sure
Now I'm positive, I should go and warn her

Ooh, bet you're thinking, ""she's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh

What'd she do to get you off? (Uh-huh)
Taking down her hair like, oh my god
Taking off your shirt, I did that once
Or twice, uh
No, I know, and I'll fuck off
But I think I like her, she's so fun
Wait, I think I hate her, I'm not that evolved

I'm sorry she's missing it, sad, sad boy
Not my business, but I had to warn ya

Ooh, bet you're thinking, ""She's so cool""
Kicking back on the couch, making eyes from across the room
Wait, I think I've been there too, ooh
Oh, ooh
You've got me thinking, ""She's so cool""
But I know what I know and you're just another dude
Ooh, that's so true, ooh

Made it out alive, but I think I lost it
Said that I was fine, said it from my coffin
Remember how I died when you started walking?
That's my life, that's my life
I'll put up a fight, taking out my earrings
Don't you know the vibe?
Don't you know the feeling?
Can't you spend the night?
Catch me on your ceiling
That's your price, that's your price

Well, mm, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh
Oh, ooh, you've got me thinking, ""She's so cool""
But I know what I know and you're just another dude
Ooh, that's so true, ooh, ooh, oh"
8,APT.,5vNRhkKd0yEAg8suGBpjeY,ROSÉ|Bruno Mars,3eVa5w3URK5duf6eyVDbu9|0du5cEVh5yTK9QJze8zA0C,APT.,2IYQwwgxgOIn7t3iF6ufFD,95,2:49,0,2024-10-18,single,USAT22409172,1160,0.777,0.783,0.0,-4.477,0.0,0.26,0.0283,0.0,0.355,0.939,149.027,169917.0,4.0,91209409,86.5,"[""k-pop""]",Pop,"(채영이가 좋아하는 랜덤게임)
(랜덤게임, game start!)

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

Kissy face, kissy face, sent to your phone, but
I'm trying to kiss your lips for real (uh-huh, uh-huh)
Red hearts, red hearts, that's what I'm on, yeah
Come give me somethin' I can feel (oh-oh-oh)

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight go crazy
All you gotta do is just meet me at the

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

It's whatever, it's whatever, it's whatever you like (whoo)
Turn this 아파트 into a club (uh-huh, uh-huh)
I'm talking drink, dance, smoke, freak, party all night (come on)
건배, 건배 girl, what's up? (Oh-oh-oh)

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight go crazy
All you gotta do is just meet me at the

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh

Hey, so now you know the game
Are you ready?
'Cause I'm comin' to get you, get you, get you

Hold on, hold on, I'm on my way
Yeah, yeah, yeah-yeah-yeah
I'm on my way
Hold on, hold on, I'm on my way
Yeah, yeah, yeah-yeah-yeah
I'm on my way

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight go crazy
All you gotta do is just meet me at the

아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (uh, uh-huh, uh-huh)

아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (uh, uh-huh, uh-huh)

아파트, 아파트
아파트, 아파트
아파트, 아파트
Just meet me at the (uh, uh-huh, uh-huh)

아파트, 아파트
아파트, 아파트
아파트, 아파트
Uh, uh-huh, uh-huh"
9,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar|SZA,2YZyLoL8N0Wb9xBt1NhZWg|7tYKF4w9nC0nq9CsPZTHyP,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,95,3:52,1,2018-02-09,album,USUM71713947,26,0.695,0.633,8.0,-4.946,1.0,0.0599,0.0612,0.000195,0.0926,0.557,96.782,232187.0,4.0,79770858,90.5,"[""hip hop"", ""r&b"", ""west coast hip hop""]","Hip Hop, R&B","Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Tell me what you gon' do to me
Confrontation ain't nothin' new to me
You can bring a bullet, bring a sword
Bring a morgue, but you can't bring the truth to me

Fuck you and all your expectations
I don't even want your congratulations
I recognize your false confidence
And calculated promises all in your conversation

I hate people that feel entitled
Look at me crazy 'cause I ain't invite you
Oh, you important?
You the moral to the story you endorsin'?
Motherfucker, I don't even like you

Corrupt a man's heart with a gift
That's how you find out who you dealin' with
A small percentage who I'm buildin' with
I want the credit if I'm losin' or I'm winnin'
On my momma, that's the realest shit

Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Skin covered in ego
Get to talkin', I get involved, like a rebound
Got no end game, got no result, got to stay down
It's the way that you making me feel like nobody ever loved me
Like you do, you do
You kinda feel like you tryin' to get away from me
If you do, I won't move

I just cry for no reason (reason), I just pray for no reason (reason)
I give thanks for the day
For the hours and another way, another life breathin'
I did it all 'cause it feel good
But wouldn't do it all if it feel bad
Better live your life
We are running out of time

Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer"
10,Sailor Song,2262bWmqomIaJXwCRHr13j,Gigi Perez,1iCnM8foFssWlPRLfAbIwo,Sailor Song,68CN2LzY8MoxO2udy2C22e,95,3:31,0,2024-07-26,single,USHM92438095,64,0.494,0.413,11.0,-10.432,1.0,0.0254,0.682,6.72e-05,0.193,0.273,94.938,211979.0,4.0,1826438,78.0,['bedroom pop'],Pop,"I saw her in the rightest way
Looking like Anne Hathaway
Laughing while she hit her pen
And coughed, and coughed
And then she came up to my knees
Begging, ""Baby, would you please
Do the things you said you'd do to me, to me?""

Oh, won't you kiss me on the mouth and love me like a sailor?
And when you get a taste, can you tell me what's my flavor?
I don't believe in God, but I believe that you're my savior
My mom says that she's worried, but I'm covered in His favor
And when we're getting dirty, I forget all that is wrong
I sleep so I can see you 'cause I hate to wait so long
I sleep so I can see you, and I hate to wait so long

She took my fingers to her mouth
The kind of thing that makes you proud
That nothing else had ever
Worked out, worked out
And maybe I tried other things
But nothing can capture the sting
Of the venom she's gonna spit out right now

Oh, won't you kiss me on the mouth and love me like a sailor?
And when you get a taste, can you tell me what's my flavor?
I don't believe in God, but I believe that you're my savior
I know that you've been worried, but you're dripping in my favor
And when we're getting dirty, I forget all that is wrong
I sleep so I can see you 'cause I hate to wait so long
I sleep so I can see you, and I hate to wait so long

And we can run away to the walls inside your house
I can be the cat, baby, you can be the mouse
And we can laugh off things that we know nothing about
We can go forever or until you wanna sit it out"
