genero,quantidade_faixas,media_popularity,media_danceability,media_energy,media_valence,media_tempo,media_acousticness,media_instrumentalness,media_speechiness,media_liveness,media_loudness,media_danceability_norm,media_energy_norm,media_valence_norm,media_tempo_norm,media_acousticness_norm,media_instrumentalness_norm,media_speechiness_norm,media_liveness_norm,media_loudness_norm
electronic,1922,39.982570239334024,0.6520317377731529,0.6800069198751302,0.4305412070759625,122.09647346514048,0.2022759116024974,0.14166405425078044,0.07951243496357961,0.1885127991675338,-6.637363683662851,0.6619611550996477,0.6800069198751302,0.4327047307296106,0.43109073173371965,0.20308826466114197,0.14166405425078044,0.08239630566174054,0.1885127991675338,0.7934009639926963
acoustic,1000,42.4835,0.549593,0.43536810000000004,0.42402300000000004,119.01062399999999,0.56681639833,0.03833583693,0.043247,0.1532444,-9.447843,0.5579624365482233,0.43536810000000004,0.42615376884422107,0.4166148649916499,0.5690927694076305,0.03833583693,0.044815544041450786,0.1532444,0.7414157002016166
british,1000,43.8,0.5012758,0.50712697,0.4397141,118.828617,0.42794293626,0.19367906512,0.05001,0.1742984,-10.519963,0.5089094416243655,0.50712697,0.4419237185929648,0.41576106149025194,0.42966158259036147,0.19367906512,0.0518238341968912,0.1742984,0.7215847622218522
country,1000,17.0295,0.555294,0.5968052,0.5214813,123.963307,0.321226736,0.00558462043,0.042268,0.1772382,-7.281778,0.5637502538071065,0.5968052,0.5241018090452261,0.43984813671589135,0.3225168032128514,0.00558462043,0.043801036269430056,0.1772382,0.7814812718495089
disco,1000,33.5215,0.676692,0.737565,0.6707538,121.97438000000001,0.1662128304,0.08095198711,0.0592516,0.1953252,-7.422032,0.6869969543147209,0.737565,0.6741244221105527,0.4305179854765166,0.16688035180722893,0.08095198711,0.06140062176165804,0.1953252,0.7788870022011356
emo,1000,48.1195,0.599321,0.6699669202999999,0.441135,126.992643,0.19508066629999998,0.03028117864,0.1089572,0.18373759999999997,-6.718621,0.6084477157360405,0.6699669202999999,0.4433517587939698,0.45405889610267763,0.19586412279116466,0.03028117864,0.11290901554404147,0.18373759999999997,0.7918979523888796
funk,1000,32.322,0.678184,0.632999,0.5996525,117.755823,0.29965703309999997,0.00779820822,0.15164850000000002,0.18055690000000002,-6.503946,0.6885116751269035,0.632999,0.6026658291457286,0.41072853376616064,0.300860475,0.00779820822,0.15714870466321243,0.18055690000000002,0.7958687827164603
garage,1000,40.9325,0.48426440000000004,0.7443500000000001,0.5180332,127.048215,0.16750723035999998,0.18986973912,0.0659337,0.2126866,-6.553586,0.4916389847715736,0.7443500000000001,0.5206363819095478,0.45431958700016883,0.16817995016064258,0.18986973912,0.06832507772020727,0.2126866,0.794950594676581
indie pop,1000,40.6575,0.60437,0.5611395,0.4606154,120.17900900000001,0.37235657733,0.041932595339999996,0.06586109999999999,0.1674189,-7.996607,0.6135736040609137,0.5611395,0.4629300502512563,0.42209581464732704,0.3738519852710843,0.041932595339999996,0.06824984455958549,0.1674189,0.7682591236150417
industrial,1000,31.04,0.530416,0.8617453,0.4248738,126.831205,0.03672752687,0.19203051923,0.0868167,0.2329869,-6.024399000000001,0.5384934010152285,0.8617453,0.4270088442211055,0.45330158275946186,0.036875026977911646,0.19203051923,0.08996549222797928,0.2329869,0.8047389342063888
j rock,1000,40.659,0.509069,0.7606839999999999,0.5377491999999999,128.52244199999998,0.16859578103,0.0234557353,0.0644018,0.2236261,-5.693655,0.5168213197969543,0.7606839999999999,0.5404514572864321,0.46123525603737825,0.16927287252008033,0.0234557353,0.06673761658031088,0.2236261,0.8108566857185135
mandopop,1000,45.027,0.546532,0.4984339,0.35016430000000004,123.47590600000001,0.4802883056,0.00370949509,0.039487499999999995,0.1593046,-8.176785,0.5548548223350254,0.4984339,0.3519239195979899,0.4375617154222881,0.48221717429718874,0.00370949509,0.04091968911917099,0.1593046,0.7649263821837485
metalcore,1000,43.477,0.4238,0.914485,0.31490179999999995,130.580195,0.01028573078,0.04569475021,0.1102598,0.25818040000000003,-4.457694,0.430253807106599,0.914485,0.31648422110552765,0.4708882733191976,0.010327038935742973,0.04569475021,0.11425886010362696,0.25818040000000003,0.8337181806411038
mpb,1000,40.771,0.5740879999999999,0.5797871706,0.5564338,120.16105499999999,0.420858189,0.015458908759999999,0.0565688,0.33946390000000004,-9.110408,0.5828304568527918,0.5797871706,0.5592299497487437,0.4220115915786313,0.4225483825301205,0.015458908759999999,0.058620518134715034,0.33946390000000004,0.747657214730962
pagode,1000,44.2835,0.577723,0.7121230000000001,0.687978,126.859308,0.53837212,0.0005658295,0.0627869,0.5198638,-7.268763,0.5865208121827411,0.7121230000000001,0.691435175879397,0.4534334152702982,0.5405342570281125,0.0005658295,0.06506414507772021,0.5198638,0.7817220095074265
