coluna,valor,contagem
acousticness,0.995,124
acousticness,0.131,108
acousticness,0.994,108
acousticness,0.993,96
acousticness,0.992,82
acousticness,0.991,78
acousticness,0.99,70
acousticness,0.117,65
acousticness,0.101,58
acousticness,0.881,57
acousticness,0.989,57
acousticness,0.191,54
acousticness,0.733,53
acousticness,0.987,52
acousticness,0.129,51
acousticness,0.168,51
acousticness,0.988,48
acousticness,0.114,47
acousticness,0.128,47
acousticness,0.106,46
acousticness,0.134,46
acousticness,0.172,46
acousticness,0.986,46
acousticness,0.121,45
acousticness,0.105,44
acousticness,0.983,44
acousticness,0.102,43
acousticness,0.155,43
acousticness,0.223,43
acousticness,0.577,43
acousticness,0.107,42
acousticness,0.112,42
acousticness,0.118,42
acousticness,0.194,42
acousticness,0.985,42
acousticness,0.123,41
acousticness,0.182,41
acousticness,0.262,41
acousticness,0.984,41
acousticness,0.996,41
acousticness,0.764,40
acousticness,0.175,39
acousticness,0.178,39
acousticness,0.961,39
acousticness,0.829,38
acousticness,0.978,38
acousticness,0.125,37
acousticness,0.157,37
acousticness,0.0282,36
acousticness,0.146,36
acousticness,0.158,36
acousticness,0.0246,35
acousticness,0.109,35
acousticness,0.127,35
acousticness,0.149,35
acousticness,0.159,35
acousticness,0.0121,34
acousticness,0.126,34
acousticness,0.14,34
acousticness,0.143,34
acousticness,0.145,34
acousticness,0.161,34
acousticness,0.964,33
acousticness,0.0127,32
acousticness,0.104,32
acousticness,0.108,32
acousticness,0.12,32
acousticness,0.132,32
acousticness,0.176,32
acousticness,0.184,32
acousticness,0.777,32
acousticness,0.972,32
acousticness,0.103,31
acousticness,0.179,31
acousticness,0.198,31
acousticness,0.785,31
acousticness,0.835,31
acousticness,0.979,31
acousticness,0.0112,30
acousticness,0.111,30
acousticness,0.124,30
acousticness,0.174,30
acousticness,0.555,30
acousticness,0.782,30
acousticness,0.877,30
acousticness,0.938,30
acousticness,0.949,30
acousticness,0.955,30
acousticness,0.976,30
acousticness,0.982,30
acousticness,0.0117,29
acousticness,0.13,29
acousticness,0.135,29
acousticness,0.139,29
acousticness,0.144,29
acousticness,0.147,29
acousticness,0.188,29
acousticness,0.197,29
acousticness,0.219,29
acousticness,0.222,29
acousticness,0.229,29
acousticness,0.289,29
acousticness,0.414,29
acousticness,0.806,29
acousticness,0.861,29
acousticness,0.872,29
acousticness,0.879,29
acousticness,0.953,29
acousticness,0.963,29
acousticness,0.0116,28
acousticness,0.0124,28
acousticness,0.122,28
acousticness,0.162,28
acousticness,0.181,28
acousticness,0.204,28
acousticness,0.205,28
acousticness,0.217,28
acousticness,0.221,28
acousticness,0.435,28
acousticness,0.828,28
acousticness,0.967,28
acousticness,0.0129,27
acousticness,0.0301,27
acousticness,0.136,27
acousticness,0.165,27
acousticness,0.18,27
acousticness,0.199,27
acousticness,0.214,27
acousticness,0.248,27
acousticness,0.253,27
acousticness,0.297,27
acousticness,0.299,27
acousticness,0.396,27
acousticness,0.619,27
acousticness,0.715,27
acousticness,0.805,27
acousticness,0.912,27
acousticness,0.0125,26
acousticness,0.11,26
acousticness,0.115,26
acousticness,0.133,26
acousticness,0.15,26
acousticness,0.154,26
acousticness,0.163,26
acousticness,0.169,26
acousticness,0.283,26
acousticness,0.3,26
acousticness,0.316,26
acousticness,0.598,26
acousticness,0.744,26
acousticness,0.822,26
acousticness,0.846,26
acousticness,0.891,26
acousticness,0.913,26
acousticness,0.921,26
acousticness,0.927,26
acousticness,0.956,26
acousticness,0.965,26
acousticness,0.975,26
acousticness,0.0164,25
acousticness,0.0195,25
acousticness,0.1,25
acousticness,0.119,25
acousticness,0.166,25
acousticness,0.167,25
acousticness,0.186,25
acousticness,0.192,25
acousticness,0.193,25
acousticness,0.202,25
acousticness,0.23,25
acousticness,0.237,25
acousticness,0.245,25
acousticness,0.246,25
acousticness,0.252,25
acousticness,0.261,25
acousticness,0.288,25
acousticness,0.451,25
acousticness,0.501,25
acousticness,0.572,25
acousticness,0.58,25
acousticness,0.617,25
acousticness,0.82,25
acousticness,0.827,25
acousticness,0.831,25
acousticness,0.841,25
acousticness,0.966,25
acousticness,0.968,25
acousticness,0.00445,24
acousticness,0.0119,24
acousticness,0.037,24
